Device,IOdepth,Jobnum,IOPS
/dev/cas1-1,1,1,8333.522216
/dev/cas1-1,1,2,20700.343322
/dev/cas1-1,1,4,38739.042032
/dev/cas1-1,1,8,58163.261225
/dev/cas1-1,1,16,76299.380041
/dev/cas1-1,1,32,74759.616026
/dev/cas1-1,2,1,16772.840905
/dev/cas1-1,2,2,32898.836705
/dev/cas1-1,2,4,48441.485284
/dev/cas1-1,2,8,67746.350243
/dev/cas1-1,2,16,78159.628012
/dev/cas1-1,2,32,74654.789681
/dev/cas1-1,4,1,25940.868638
/dev/cas1-1,4,2,39419.019366
/dev/cas1-1,4,4,55859.438019
/dev/cas1-1,4,8,75241.091964
/dev/cas1-1,4,16,83422.924374
/dev/cas1-1,4,32,74712.209593
/dev/cas1-1,8,1,36147.261758
/dev/cas1-1,8,2,41354.654845
/dev/cas1-1,8,4,56633.278891
/dev/cas1-1,8,8,76662.422505
/dev/cas1-1,8,16,83495.483484
/dev/cas1-1,8,32,74874.837505
/dev/cas1-1,16,1,38114.529516
/dev/cas1-1,16,2,43843.138562
/dev/cas1-1,16,4,55963.167894
/dev/cas1-1,16,8,76915.136162
/dev/cas1-1,16,16,83282.347843
/dev/cas1-1,16,32,74755.041499
/dev/cas1-1,32,1,38700.276657
/dev/cas1-1,32,2,39577.880737
/dev/cas1-1,32,4,56178.394054
/dev/cas1-1,32,8,77074.930836
/dev/cas1-1,32,16,83582.047265
/dev/cas1-1,32,32,74767.715486
